subj_idx,valence,condition,CR,hit,FA,miss,hitR,faR,dprime
21,triangle,simultaneous,40,37,0,3,0.925,0.0125,3.6809341985434005
21,triangle,word_first,38,40,1,0,0.9875,0.02564102564102564,4.190514724544834
22,circle,image_first,40,35,0,5,0.875,0.0125,3.3917521079809525
22,circle,simultaneous,38,37,2,3,0.925,0.05,3.0843850978899283
22,circle,word_first,35,35,5,5,0.875,0.125,2.3006987607520157
22,square,image_first,38,37,1,3,0.925,0.02564102564102564,3.3886434678783437
22,square,simultaneous,38,39,2,1,0.975,0.05,3.6048176114915265
22,square,word_first,36,40,4,0,0.9875,0.1,3.5229542931495472
22,triangle,image_first,39,34,1,6,0.85,0.025,2.996397374033843
22,triangle,simultaneous,40,35,0,5,0.875,0.0125,3.3917521079809525
22,triangle,word_first,40,36,0,4,0.9,0.0125,3.5229542931495454
23,circle,image_first,32,34,8,6,0.85,0.2,1.8780546230667037
23,circle,simultaneous,30,37,10,3,0.925,0.25,2.1140212211345375
23,circle,word_first,33,38,7,2,0.95,0.175,2.579442918024952
23,square,image_first,30,33,10,7,0.825,0.25,1.6090790412695615
23,square,simultaneous,27,35,13,5,0.875,0.325,1.604111570545887
23,square,word_first,37,32,3,8,0.8,0.075,2.28115270451137
23,triangle,image_first,35,38,5,2,0.95,0.125,2.7952030073274794
23,triangle,simultaneous,38,39,2,1,0.975,0.05,3.6048176114915265
23,triangle,word_first,35,40,5,0,0.9875,0.125,3.3917521079809543
24,circle,image_first,40,38,0,2,0.95,0.0125,3.886256354556416
24,circle,simultaneous,38,38,1,2,0.95,0.02564102564102564,3.5939656238913593
24,circle,word_first,39,39,1,0,0.9871794871794872,0.025,4.1915698198009785
24,square,image_first,39,38,1,2,0.95,0.025,3.6048176114915256
24,square,simultaneous,37,37,2,3,0.925,0.05128205128205128,3.0720794367848043
24,square,word_first,39,39,1,1,0.975,0.025,3.919927969080107
24,triangle,image_first,40,37,0,3,0.925,0.0125,3.6809341985434005
24,triangle,simultaneous,40,34,0,6,0.85,0.0125,3.277836117098734
24,triangle,word_first,39,37,1,3,0.925,0.025,3.39949545547851
25,circle,image_first,39,34,1,6,0.85,0.025,2.996397374033843
25,circle,simultaneous,39,39,1,0,0.9871794871794872,0.025,4.1915698198009785
25,circle,word_first,38,38,2,2,0.95,0.05,3.289707253902944
25,square,image_first,38,35,2,5,0.875,0.05,2.7952030073274807
25,square,simultaneous,30,36,10,4,0.9,0.25,1.9560413157406824
25,square,word_first,39,36,1,4,0.9,0.025,3.241515550084655
25,triangle,image_first,40,38,0,2,0.95,0.0125,3.886256354556416
25,triangle,simultaneous,38,39,2,1,0.975,0.05,3.6048176114915265
25,triangle,word_first,39,39,1,1,0.975,0.025,3.919927969080107
26,circle,image_first,38,38,2,2,0.95,0.05,3.289707253902944
26,circle,simultaneous,37,37,3,3,0.925,0.075,2.879062941876912
26,circle,word_first,34,40,6,0,0.9875,0.15,3.277836117098736
26,square,image_first,36,38,4,2,0.95,0.1,2.9264051924960723
26,square,simultaneous,37,37,2,2,0.9487179487179487,0.05128205128205128,3.2650959316926964
26,square,word_first,38,37,2,3,0.925,0.05,3.0843850978899283
26,triangle,image_first,39,40,1,0,0.9875,0.025,4.201366712145
26,triangle,simultaneous,39,40,1,0,0.9875,0.025,4.201366712145
26,triangle,word_first,35,40,5,0,0.9875,0.125,3.3917521079809543
27,circle,image_first,38,40,2,0,0.9875,0.05,3.8862563545564193
27,circle,simultaneous,39,40,1,0,0.9875,0.025,4.201366712145
27,circle,word_first,39,40,1,0,0.9875,0.025,4.201366712145
27,square,image_first,39,40,1,0,0.9875,0.025,4.201366712145
27,square,simultaneous,40,40,0,0,0.9875,0.0125,4.482805455209891
27,square,word_first,39,37,1,3,0.925,0.025,3.39949545547851
27,triangle,image_first,40,40,0,0,0.9875,0.0125,4.482805455209891
27,triangle,simultaneous,40,38,0,2,0.95,0.0125,3.886256354556416
27,triangle,word_first,39,40,1,0,0.9875,0.025,4.201366712145
28,circle,image_first,39,40,1,0,0.9875,0.025,4.201366712145
28,circle,simultaneous,36,38,4,2,0.95,0.1,2.9264051924960723
28,circle,word_first,39,38,1,2,0.95,0.025,3.6048176114915256
28,square,image_first,38,35,2,5,0.875,0.05,2.7952030073274807
28,square,simultaneous,35,36,5,4,0.9,0.125,2.4319009459206087
28,square,word_first,39,37,1,3,0.925,0.025,3.39949545547851
28,triangle,image_first,40,39,0,1,0.975,0.0125,4.201366712144998
28,triangle,simultaneous,40,39,0,1,0.975,0.0125,4.201366712144998
28,triangle,word_first,38,40,2,0,0.9875,0.05,3.8862563545564193
29,circle,image_first,39,39,1,1,0.975,0.025,3.919927969080107
29,circle,simultaneous,39,37,0,3,0.925,0.01282051282051282,3.671137306199379
29,circle,word_first,36,38,4,1,0.9743589743589743,0.1,3.230663562484488
29,square,image_first,39,37,1,3,0.925,0.025,3.39949545547851
29,square,simultaneous,34,37,5,3,0.925,0.1282051282051282,2.5744480889319465
29,square,word_first,38,35,2,5,0.875,0.05,2.7952030073274807
29,triangle,image_first,40,40,0,0,0.9875,0.0125,4.482805455209891
29,triangle,simultaneous,40,40,0,0,0.9875,0.0125,4.482805455209891
29,triangle,word_first,40,38,0,2,0.95,0.0125,3.886256354556416
30,circle,image_first,40,39,0,1,0.975,0.0125,4.201366712144998
30,circle,simultaneous,38,32,2,8,0.8,0.05,2.486474860524387
30,circle,word_first,37,36,3,4,0.9,0.075,2.7210830364830567
30,square,image_first,39,40,1,0,0.9875,0.025,4.201366712145
30,square,simultaneous,36,39,4,1,0.975,0.1,3.2415155500846544
30,square,word_first,36,40,4,0,0.9875,0.1,3.5229542931495472
30,triangle,image_first,38,38,2,2,0.95,0.05,3.289707253902944
30,triangle,simultaneous,38,37,2,3,0.925,0.05,3.0843850978899283
30,triangle,word_first,39,38,1,2,0.95,0.025,3.6048176114915256
31,circle,image_first,34,38,4,2,0.95,0.10526315789473684,2.8969731472166913
31,circle,simultaneous,33,36,6,2,0.9473684210526315,0.15384615384615385,2.639932491424471
31,circle,word_first,39,38,1,1,0.9743589743589743,0.025,3.909075981479941
31,square,image_first,32,37,7,3,0.925,0.1794871794871795,2.3568526565576837
31,square,simultaneous,36,35,4,4,0.8974358974358975,0.1,2.548627316811045
31,square,word_first,36,36,2,2,0.9473684210526315,0.05263157894736842,3.239712517276539
31,triangle,image_first,38,40,2,0,0.9875,0.05,3.8862563545564193
31,triangle,simultaneous,38,39,2,0,0.9871794871794872,0.05,3.876459462212397
31,triangle,word_first,37,39,3,1,0.975,0.075,3.399495455478509
32,circle,image_first,38,38,2,2,0.95,0.05,3.289707253902944
32,circle,simultaneous,39,37,1,3,0.925,0.025,3.39949545547851
32,circle,word_first,38,37,2,3,0.925,0.05,3.0843850978899283
32,square,image_first,38,36,2,4,0.9,0.05,2.9264051924960732
32,square,simultaneous,36,37,4,3,0.925,0.1,2.7210830364830567
32,square,word_first,35,36,5,4,0.9,0.125,2.4319009459206087
32,triangle,image_first,38,39,2,1,0.975,0.05,3.6048176114915265
32,triangle,simultaneous,38,40,2,0,0.9875,0.05,3.8862563545564193
32,triangle,word_first,38,40,2,0,0.9875,0.05,3.8862563545564193
33,circle,image_first,38,40,1,0,0.9875,0.02564102564102564,4.190514724544834
33,circle,simultaneous,37,39,3,1,0.975,0.075,3.399495455478509
33,circle,word_first,35,38,5,2,0.95,0.125,2.7952030073274794
33,square,image_first,38,33,1,6,0.8461538461538461,0.02564102564102564,2.9691882297260896
33,square,simultaneous,36,39,4,1,0.975,0.1,3.2415155500846544
33,square,word_first,38,39,2,1,0.975,0.05,3.6048176114915265
33,triangle,image_first,39,38,1,2,0.95,0.025,3.6048176114915256
33,triangle,simultaneous,37,34,3,4,0.8947368421052632,0.075,2.6916509912036752
33,triangle,word_first,39,36,1,4,0.9,0.025,3.241515550084655
34,circle,image_first,39,40,1,0,0.9875,0.025,4.201366712145
34,circle,simultaneous,40,39,0,1,0.975,0.0125,4.201366712144998
34,circle,word_first,39,38,1,2,0.95,0.025,3.6048176114915256
